entry_period,atr_mult,sharpe,win_rate,total_return_pct,max_dd_pct,n_trades,profit_factor,avg_trade_pnl
10,1.5,20.2275,0.0,67.57,28.67,3,0.0,-245.21
10,2.0,18.6438,0.0,42.14,21.88,3,0.0,-238.91
10,3.0,17.7397,0.0,31.91,18.62,3,0.0,-220.76
20,3.0,4.4569,0.3333,5.2,14.21,39,1.16,13.33
20,1.5,-3.0964,0.25,-11.23,34.76,56,0.85,-20.05
20,2.0,-4.6141,0.26,-10.96,29.37,50,0.81,-21.92
40,3.0,-13.8843,0.28,-16.1,25.19,50,0.58,-32.2
40,1.5,-15.6491,0.2407,-30.45,42.36,54,0.56,-56.4
40,2.0,-17.3967,0.2692,-26.93,35.42,52,0.54,-51.79
